* Konfiguration
*
* Populationsgroesse festlegen
* Definiert die Größe der Population für die Lösung mit Simulated Annealing. Default: 1000
? sa.population_size=100
* Definiert die Größe der Population für die Lösung mit Ant Colony Optimization. Default: 10000
? aco.population_size=100
*
* Maximale Anzahl von Umläufen
* Die grösste erwartete Anzahl von Umläufen in einer Lösung. Zu kleine Werte führen dazu, dass das Programm nicht korrekt arbeitet.
* Zu grosse Werte führen zu einem unnötig großen Speicherverbrauch.
* Default: 700
? aco.max_num_of_circulations=10
*
* Maximale Länge eines Umlaufs.
* Beeinflusst den Speicherbedarf.
* Default: 50
? aco.max_circulation_length=50
? sa.max_circulation_length=50
*
* Depots festlegen
* Definiert, nach welchem Verfahren die Depots festgelegt werden.
* no_service_trip:	Jede Haltestelle, an der keine Servicefahrten ankommen oder abgehen wird als Depot angesehen.
* one_digit_id:		Jede Haltestelle mit einstelliger Legacy-Id wird als Depot angesehen.
*?depot_detection_mode=no_service_trip
?depot_detection_mode=one_digit_id
*
* Haltestellennamen
* true: Die Haltestellennamen werden durch zufällig ausgewählte Strassennamen ersetzt.
*?use_random_streetnames=false
?use_random_streetnames=true
*
* Ladestationen
* Definiert, nach welchem Verfahren die Ladestationen festgelegt werden.
* no_charging_stations: 	Es wird ein VSP für konventionelle Fahrzeuge gelöst. Keine Ladestationen & unbegrenzte Batteriekapazität.
* random_stops:				Zufällig ausgewählte Haltestellen werden zu Ladestationen (prozentualer Anteil: charging_station_ratio).
* veh_capacity_at_stops: 	Jede Haltestelle mit einer VehCapacityForCharging > 0 wird zu Ladestation.
* veh_type_entry:			Jede Haltestelle mit einem Eintrag im Block VEHTYPETOCHARGINGSTATION wird zu Ladestation.
*?charging_station_detection_mode=no_charging_stations
?charging_station_detection_mode=random_stops
*?charging_station_detection_mode=veh_capacity_at_stops
*?charging_station_detection_mode=veh_type_entry
*
* Anteil der Ladestationen
* Prozentualer Anteil von Ladestationen an der Gesamtanzahl der Bushaltestellen im Bereich 0-100. Nur relevant, wenn 
* 'charging_station_detection_mode' gleich 'random' ist. Default: 10%
*   0: Über die Depots hinaus gibt es keine Ladestationen.
* 100: Jede Bushaltestelle ist auch eine Ladestation.
?charging_station_ratio=10
*
* Entscheidungsnetz auf der Konsole ausgeben (nur bei sehr kleinen Problemen sinnvoll)
*? aco.dump_decision_net=true
*
* Statistische Angaben zum Entscheidungsnetz auf der Konsole ausgeben.
? aco.print_stats=true
*
* Beste Lösung ausgeben
? aco.dump_best_solution=true
*
* Schlechteste Lösung ausgeben
? aco.dump_worst_solution=true
*
$CHARGINGSYSTEM:ID;Name
0;Plugin
1;Panthograph/Overhead
2;Battery Change
3;Induction
*
$STOPPOINT:ID;Code;Name;VehCapacityForCharging
8890;8890;8890;1000
8886;8886;8886;1000
8880;8880;8880;1000
8884;8884;8884;1000
8885;8885;8885;1000
8812;8812;8812;1000
8888;8888;8888;1000
8889;8889;8889;1000
8357;8357;8357;1000
8881;8881;8881;1000
9698;9698;9698;1000
8399;8399;8399;1000
8444;8444;8444;1000
8882;8882;8882;1000
8883;8883;8883;1000
9290;9290;9290;1000
8361;8361;8361;1000
8631;8631;8631;1000
8951;8951;8951;1000
8271;8271;8271;1000
8355;8355;8355;1000
9110;9110;9110;1000
8632;8632;8632;1000
8569;8569;8569;1000
9362;9362;9362;1000
8354;8354;8354;1000
8564;8564;8564;1000
8562;8562;8562;1000
8272;8272;8272;1000
8319;8319;8319;1000
8646;8646;8646;1000
8429;8429;8429;1000
8875;8875;8875;1000
8913;8913;8913;1000
8378;8378;8378;1000
8887;8887;8887;1000
9140;9140;9140;1000
8241;8241;8241;1000
8320;8320;8320;1000
8844;8844;8844;1000
8954;8954;8954;1000
8386;8386;8386;1000
9104;9104;9104;1000
8260;8260;8260;1000
8385;8385;8385;1000
8603;8603;8603;1000
8747;8747;8747;1000
8916;8916;8916;1000
8867;8867;8867;1000
8206;8206;8206;1000
8458;8458;8458;1000
8459;8459;8459;1000
8524;8524;8524;1000
8568;8568;8568;1000
8826;8826;8826;1000
9375;9375;9375;1000
9189;9189;9189;1000
9190;9190;9190;1000
8865;8865;8865;1000
9085;9085;9085;1000
8390;8390;8390;1000
8521;8521;8521;1000
8624;8624;8624;1000
8623;8623;8623;1000
8641;8641;8641;1000
8726;8726;8726;1000
9203;9203;9203;1000
9024;9024;9024;1000
9025;9025;9025;1000
8922;8922;8922;1000
9064;9064;9064;1000
9144;9144;9144;1000
9700;9700;9700;1000
8264;8264;8264;1000
8208;8208;8208;1000
8358;8358;8358;1000
8353;8353;8353;1000
8479;8479;8479;1000
8570;8570;8570;1000
8698;8698;8698;1000
8736;8736;8736;1000
8992;8992;8992;1000
9003;9003;9003;1000
8872;8872;8872;1000
8953;8953;8953;1000
9683;9683;9683;1000
9701;9701;9701;1000
8211;8211;8211;1000
8296;8296;8296;1000
8309;8309;8309;1000
8332;8332;8332;1000
8323;8323;8323;1000
8356;8356;8356;1000
8362;8362;8362;1000
8387;8387;8387;1000
8392;8392;8392;1000
9222;9222;9222;1000
8507;8507;8507;1000
8533;8533;8533;1000
8613;8613;8613;1000
8642;8642;8642;1000
8647;8647;8647;1000
8648;8648;8648;1000
8659;8659;8659;1000
8652;8652;8652;1000
8657;8657;8657;1000
8658;8658;8658;1000
8675;8675;8675;1000
9705;9705;9705;1000
9704;9704;9704;1000
8774;8774;8774;1000
9708;9708;9708;1000
8993;8993;8993;1000
9004;9004;9004;1000
9018;9018;9018;1000
8866;8866;8866;1000
9048;9048;9048;1000
9057;9057;9057;1000
9129;9129;9129;1000
9132;9132;9132;1000
9090;9090;9090;1000
9289;9289;9289;1000
8212;8212;8212;1000
9223;9223;9223;1000
8218;8218;8218;1000
9216;9216;9216;1000
8259;8259;8259;1000
8265;8265;8265;1000
8207;8207;8207;1000
9380;9380;9380;1000
8333;8333;8333;1000
8336;8336;8336;1000
8334;8334;8334;1000
8313;8313;8313;1000
9220;9220;9220;1000
9305;9305;9305;1000
8393;8393;8393;1000
8391;8391;8391;1000
8395;8395;8395;1000
8396;8396;8396;1000
8422;8422;8422;1000
8450;8450;8450;1000
8453;8453;8453;1000
8470;8470;8470;1000
8499;8499;8499;1000
8506;8506;8506;1000
8525;8525;8525;1000
8534;8534;8534;1000
8546;8546;8546;1000
8547;8547;8547;1000
8556;8556;8556;1000
8577;8577;8577;1000
8567;8567;8567;1000
9274;9274;9274;1000
8601;8601;8601;1000
8628;8628;8628;1000
8629;8629;8629;1000
8639;8639;8639;1000
8674;8674;8674;1000
8673;8673;8673;1000
8685;8685;8685;1000
8697;8697;8697;1000
9712;9712;9712;1000
8702;8702;8702;1000
8706;8706;8706;1000
8708;8708;8708;1000
8745;8745;8745;1000
8773;8773;8773;1000
8758;8758;8758;1000
8759;8759;8759;1000
8761;8761;8761;1000
8808;8808;8808;1000
8777;8777;8777;1000
8814;8814;8814;1000
8840;8840;8840;1000
8839;8839;8839;1000
8843;8843;8843;1000
8852;8852;8852;1000
8983;8983;8983;1000
8989;8989;8989;1000
8996;8996;8996;1000
9005;9005;9005;1000
9379;9379;9379;1000
8981;8981;8981;1000
8970;8970;8970;1000
9019;9019;9019;1000
9021;9021;9021;1000
9044;9044;9044;1000
9267;9267;9267;1000
9069;9069;9069;1000
9075;9075;9075;1000
9054;9054;9054;1000
9062;9062;9062;1000
8929;8929;8929;1000
8957;8957;8957;1000
9109;9109;9109;1000
9157;9157;9157;1000
9139;9139;9139;1000
9148;9148;9148;1000
9149;9149;9149;1000
9124;9124;9124;1000
9123;9123;9123;1000
9127;9127;9127;1000
9094;9094;9094;1000
9096;9096;9096;1000
16;16;16;1000
1;1;1;1000
*
$LINE:ID;Code;Name;;;;;;;;
40;40;40;;;;;;;;
1;1;1;;;;;;;;
59;59;59;;;;;;;;
4;4;4;;;;;;;;
5;5;5;;;;;;;;
6;6;6;;;;;;;;
7;7;7;;;;;;;;
45;45;45;;;;;;;;
46;46;46;;;;;;;;
8;8;8;;;;;;;;
9;9;9;;;;;;;;
10;10;10;;;;;;;;
87;87;87;;;;;;;;
11;11;11;;;;;;;;
12;12;12;;;;;;;;
13;13;13;;;;;;;;
14;14;14;;;;;;;;
15;15;15;;;;;;;;
53;53;53;;;;;;;;
92;92;92;;;;;;;;
16;16;16;;;;;;;;
17;17;17;;;;;;;;
18;18;18;;;;;;;;
56;56;56;;;;;;;;
43;43;43;;;;;;;;
48;48;48;;;;;;;;
